id,themes
1,love
2,war
3,revenge
4,betrayal 
5,redemption
6,friendship
7,family
8,death
9,prejudice
10,forgiveness
11,youth
12,injustice
13,inequality
14,power
15,individuality
16,fate 
17,courage
18,rebellion
19,humility
20,fear
21,hate
22,violence
23,warfare
24,tragedy
25,money
26,greed
27,oppression
28,poverty
29,sacrifice
30,survival
31,loss
32,religion
33,life
34,alienation
35,innocence 
36,madness
37,immortality
38,crime
39,imperialism
40,ambition
41,suffering
42,education
43,time 
44,hope 
45,freedom 
46,beauty 
47,honor
48,destiny 
49,loyalty
50,nature
51,communication